,id,Firm_Name,Registered_Address,CEO,Establishment_Year,Number_Of_Employees,Revenue_Size,Website,NAICS_Code,SIC_Code,Status,Dissolvement_Year,Company_Type,Previous_Names,Alternative_Names,Key_Executive_Personnel
325,326,"""C - K TRANSFER COMPANY""","2255  South  Archer Avenue, Chicago, IL, USA, 60608",No information found,1946,10-100,1000000-10000000,No website found,484122,4212,Active,N/A,Corporation,N/A,N/A,"No information found
"
326,327,"""SAY IT WITH LOVE""","Unit 21, Claydon Business Park, Great Blakenham, Ipswich, Suffolk, United Kingdom, IP6 9LQ
","
Asandi Conner
",2018,"
1-10
","
No information found
","
sayitwritedetroit.com
","
No information found
","
No information found
","
Active
","
N/A
","
Private
","
N/A
","
N/A
","
Asandi Conner, Founder and CEO
"
327,328,"""""""3 TIMES LUCKY.""""""","Plot No.- 396/1735 Garage Chhak, LEWIS ROAD, OLDTOWN , BHUBANESWAR, Orissa, India - 751003",No information found,No information found,1-10,No information found,No website found,No information found,No information found,Active,N/A,Private,N/A,N/A,"No information found
"
328,329,"""El Gallo"" Mexican Grocery Inc.","197 Diamond Bridge Ave., Hawthorne, NJ, USA, 07506",No information found,2017,1-10,100000-1000000,elgallonj.com,No information found,No information found,Active,N/A,Private,N/A,N/A,"No information found
"
329,330,"""5"" SPOT GUN CLUBS OF AKRON, INC.","8820 Kingsridge Drive, Miami Township, Ohio, USA, 45458
","
Tom Willingham
","
No information found
","
100-1000
","
10000000-1000000000
","
No website found
","
No information found
","
No information found
","
Active
","
N/A
","
Private
","
Shoot Point Blank
","
Range USA
","
Tom Willingham (CEO)
"
330,331,1 LINCOLN LLC,"One Lincoln Street, Suite 2400, Boston, MA, USA, 02111",No information found,No information found,1-10,No information found,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
331,332,"""AUTOMATIC"" SPRINKLER COMPANY OF AMERICA","Youngstown, Ohio, USA, N/A
","
No information found
",1919,"
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
Dissolved
",1967,"
No information found
","
N/A
","
N/A
","
No information found


"
332,333,"""BEDS +""","124 City Road, London, United Kingdom, EC1V 2NX",No information found,2022,1-10,No information found,No website found,No information found,5712,Active,N/A,Private limited Company,N/A,N/A,"No information found
"
333,334,#1 Stunnas Motorsports Club - Hampton Roads Chapter,"Portsmouth, Virginia, USA, 23703
","
No information found
",2005,"
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
Active
","
N/A
","
Club
","
N/A
","
N/A
","
No information found


"
334,335,"""GEE"" A/C, Inc.","435 Atlanta Hwy, Gainesville, Georgia, United States, 30501",Derek Dewan,1989,50-200,10000000-100000000,geehvac.com,No information found,No information found,Active,N/A,Private,Willis and Gee Heating & Air,"Gee! Heating and Air, Gee! Heating & Air Conditioning","Joseph Gee (Chief Operations Officer), Jacob Gee (Chief Financial Officer)
"
335,336,"1000 Bridges, LLC","300 Colonial Center Parkway STE 100N, Roswell, GA, 30076, USA",No information found,No information found,No information found,No information found,growthlending.com,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
336,337,"1 DIGITAL DRIVE, INC.",No information found,Dan Kogan,No information found,10-100,No information found,1digitalagency.com,No information found,No information found,Active,N/A,Private,N/A,N/A,"Dan Kogan (Founder & CEO), Colette Nichols (Chief Operating Officer; Chief Strategy Officer), Michael Prusich (Senior Director Of Business Development), Brian Harding (Director of Merchant Success), Joe Chilson (Assistant Director of Merchant Success), Matthew Lovett (Director of Merchant Success)
"
337,338,'REALART LLC,"4500 Biscayne Boulevard, Suite 800, Miami, FL, USA, 33137
","
No information found
",2002,"
100-1000
","
No information found
","
realartinterior.com
","
No information found
","
No information found
","
Active
","
N/A
","
LLC
","
N/A
","
N/A
","
No information found


"
338,339,"""SWS ENTERPRISES, INC.""","2880 HIGHWAY 78 LOGANVILLE, GA 30052, USA",Shelby Smith,2003,10-100,No information found,swsenterprise.com,484220,4212,Active,N/A,Private,N/A,Total Landscape Services,"N/A*
"
339,340,"""LOVING HEARTS"" HELPING PRECIOUS SOULS","925 S Tamiami Trail, Venice, Florida, USA, 34285
","
No information found
","
No information found
","
1-10
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
No information found
","
N/A
","
N/A
","
No information found
"
340,341,"""AFRICAN-CARIBBEAN CULTURES & FESTIVALS, INC.""","1200 NW 79TH ST, MIAMI, FL, USA, 33150",No information found,No information found,1-10,0-1M,No website found,711190,8422,Active,N/A,Nonprofit,N/A,N/A,"No information found*
"
341,342,"""R"" LAWN, L.L.C.","Holyoke, CO, USA ", Bob Biesecker ,1987, 10-100 ," $1,000,000 to $10,000,000 ", rlawn.com , No information found , No information found , Active , N/A , Locally Owned and Operated Family Company , N/A , N/A ," Bob Biesecker, CEO/Co-Owner; Dee Biesecker, Office Manager/Co-Owner; Amy, Customer Service; Jay, Director of Operations/Lawn & Tree Tech; Allyn, Lawn Tech; Josh, Lawn Tech; DeeDee, Aeration Tech
"
342,343,"""AIRARTS, INC.""","427 N 3rd St, Andalusia, Alabama, USA, 36420
","
Andrew Glasgow
","
No information found
","
1-10
","
No information found
","
airartists.org
","
No information found
","
No information found
","
Active
","
N/A
","
No information found
","
N/A
","
N/A
","
Sue Wiggins, Founder and President; Andrew Glasgow, President; Anne Kent Rush, Secretary
"
343,344,"""MY 2ND HOME"" DAY CARE CENTER, INCORPORATED","314 flower at apt 3 Anchorage, AK 99508, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,Active,N/A,No information found,N/A,N/A,"No information found*
"
344,345,"""LIL THIS THAT AND EVERYTHING"" LLC","1277 Dedrick Road, McIntyre, Georgia, USA, 31054
","
No information found
","
No information found
","
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
LLC
","
BASF – Edgar Plant; BASF Catalysts LLC - Edgar Plant; Engelhard Corporation - Edgar Plant; BASF Corporation – Edgar Plant
","
N/A
","
No information found

"
345,346,108 East Kansas City LLC,"108 E 67th St, Kansas City, MO 64113, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
346,347,#1 RADNOR/ELLIPSE CORPORATION,"171 RADNOR AVE NE, CALGARY, ALBERTA, CANADA, T2E 5H7",Cyril Lalo,No information found,1-10,No information found,No website found,No information found,No information found,Active,N/A,Private,N/A,N/A,"Cyril Lalo (CEO)
"
347,348,"""A + A . A. Abel Group ""-Worldwide Moving Services & Logistics Limited","Schützenstr. 36, 22761 Hamburg, Hamburg, Germany, 22761",No information found,1952,10-100,1000000-10000000,https://www.abel-group.de/,488510,4789,Active,N/A,GmbH,N/A,A + A . A. Abel Group,"No information found
"
348,349,(FAC) Family Assistance Center,"248 North Market Street, East Palestine, OH 44413, USA",No information found,No information found,No information found,No information found,nsmakingitright.com,No information found,No information found,Active,N/A,No information found,N/A,N/A,"No information found
"
349,350,"""E STREET"" ENTERPRISES, LLC","2603 NW 13TH STREET SUITE 267 GAINESVILLE, FL 32609 United States",Terry Griffis,2022,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"Terry Griffis, CEO"
350,351,"055 ORO VALLEY, LLC","17150 N Oracle Rd, Oro Valley, Arizona, USA, 85755
","
No information found
","
No information found
","
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
LLC
","
N/A
","
N/A
","
No information found
"
351,352,"""ELDER JOHN A. HEADLEY"", AND HIS SUCCESSORS, A CORPORATION SOLE","43 Hawkins St, Revere, MA, USA, 02151",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,Corporation Sole,N/A,N/A,"No information found*
"
352,353,(DBA) TRATAN TUBE,"19 Soho Mills, Wooburn Green, High Wycombe, Buckinghamshire, HP10 0PF, United Kingdom",No information found,No information found,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Private Limited Company,N/A,N/A,"No information found
"
353,354,101 RICHFIELD LLC,"123 Magne St, Richfield, MN 55423, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,LLC,N/A,N/A,"No information found
"
354,355,"""A FAMILY AFFAIR"" VIDEO PRODUCTIONS, INC.","111 E Erie St, Unit 2B, Chicago, IL, USA, 60611",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found*
"
355,356,"""R"" PLACE, INC.","102 E Main St, Cobb, Wisconsin, USA, 53526",Randall Zeien,1967,10-100,100000-1000000,No website found,No information found,No information found,Active,N/A,Private,Chuck Wagon,N/A,"Kathy Romines (Owner), Larry Romines (Co-founder)


"
356,357,"0 WHITES BRIDGE ROAD, LLC","7182 Whites Bridge Rd, Belding, MI 48809, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
357,358,"""HI"" LEWIS OIL COMPANY","621 SE Depot Avenue Gainesville, FL 32601 United States 32601",Wenda Lewis,1981,10-100,1000000-10000000,lewisoilco.com,454312,5983,Active,N/A,Private,"Wendell Lewis, Inc.",N/A,"Wenda Lewis, President & CEO; Kenny Brane, Operations Manager; Ken Bess, Controller; Jeannine Seider, Accountant; Barbara Tanck, Accounts Payable; Bernard Hart, Warehouse Manager; Jackie Fazzolari, Office Manager; Stephanie Seabolt, Counter Sales
"
358,359,"""A DENTON G.P., INC.""","100 Ashton Road, Denton, Manchester, Greater Manchester, M34 3JE, United Kingdom",No information found,No information found,10-100,No information found,https://www.dentonmedical.co.uk,No information found,No information found,Active,N/A,No information found,N/A,N/A,"No information found*
"
359,360,!KUNG SAN WORKS,"No information found
","
No information found
","
No information found
","
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
No information found
","
N/A
","
N/A
","
No information found

"
360,361,"""ARMATEX PETROLEUM CORPORATION""","440 BENMAR DRIVE, BATON ROUGE, LA, USA, 70808",No information found,No information found,No information found,No information found,No website found,No information found,5172,Active,N/A,No information found,N/A,N/A,"No information found*
"
361,362,'Lax LLC,No information found,No information found,No information found,1-10,$1000000-10000000,No website found,No information found,No information found,Inactive,2012,LLC,N/A,N/A,"N/A
"
362,363,"""INNERWORKS AUTOMATION, LLC""","11001 N Oak Trfy Ste 110, Kansas City, Missouri, USA, 64155
","
Andrew Collinsworth
","
No information found
","
1-10
","
100000-1000000
","
innerworkskc.com
","
No information found
","
No information found
","
Active
","
N/A
","
LLC
","
N/A
","
N/A
","
Andrew Collinsworth, Owner & President
"
363,364,088BOSS TRUCKING LLC,"8471 SW 129TH ST APT 104, MIAMI, FLORIDA, USA, 33176",No information found,2021,1-10,100000-1000000,No website found,484230,4212,Active,N/A,LLC,N/A,N/A,"No information found
"
364,365,"#1 ASSET MANAGEMENT, INC.","160 Federal Street, Boston, MA 02110, USA",William Rotatori,1984,100-1000,1000000000+,neamgroup.com,525990,6722,Active,N/A,Private,"New England Mutual Life Insurance Company Asset Management, Inc. ",N/A,"William Rotatori, CEO; Chip Clark, President
"
365,366,"""SUN"" SATIONAL TANNING LLC","2801 N 6th St STE C, Vincennes, IN 47591, USA",Matt Rauh,2003,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Limited Liability Company (LLC),N/A,N/A,"Mr. Matt Rauh, Owner; Mrs. Jill Rauh, Owner
"
366,367,"""""""ACCENT""""""","2/64 Balmain Street, Richmond, Victoria 3121, Australia",Daniel Agostinelli,1988,1000-10000,1000000000+,accentgr.com.au,No information found,No information found,Active,N/A,Public,RCG Corporation,N/A,"David Gordon (Chairman), Daniel Agostinelli (CEO)
"
367,368,"1 $ WISER CONSUMER EDUCATION, INC.","503 Hillcrest Lane, Krum, TX, USA, 76249
","
Elizabeth Hubbard
","
No information found
","
1-10
","
10000-100000
","
www.1dollarwiser.com
","
No information found
","
No information found
","
Active
","
N/A
","
Nonprofit
","
N/A
","
1$W
","
Elizabeth Hubbard, Executive Director
"
368,369,'N DA MIX L.L.C.,"14334 FAIR FOREST LANE TALLAHASSEE, FL 32312 United States 32312",Golden Children of Ferry,2019,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Florida Limited Liability Company,KT N DA MIX LLC,N/A,"Golden Children of Ferry, Authorized Member*
"
369,370,"""ASPEN YOUTH EXPERIENCE""","110 East Hallam St. #125, Aspen, Colorado, USA, 81611",Marius Gheboianu,1991,1-10,No information found,aspenexperience.com,No information found,No information found,Dissolved,2009,Nonprofit,A Grassroots Aspen Experience,N/A,"N/A*
"
370,371,#1 STOP AUTO INC.,"1030 Stevenson Dr, Springfield, IL, USA, 62703",Joseph Halligan,2005,1-10,100000-1000000,1stopautoshopinc.com,No information found,No information found,Active,N/A,Incorporated,Tom Hollinshead Auto Body,N/A,"Joseph Halligan, Owner*
"
371,372,"""BLESSINGS770"" INC.",No information found,No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
372,373,"""ALIVE 'N WELL"" FOUNDATION","4405 Roswell Rd Ste 450, Atlanta, GA, USA, 30342",Caroline McInerny,No information found,1-10,100000-1000000,aliveandwellfoundation.org,621399,8099,Active,N/A,Nonprofit,N/A,N/A,"Caroline McInerny (Board President), Christopher L. Kimbrell (Founder of Frontline Focus Foundation), Jason Bussey (Counselor, Psychotherapist, and Certified Life Coach), Tim Johnson (John C. Maxwell-certified Speaker and Life Skills Consultant)
"
373,374,"""BOB'S CLASSIC CARS & BODY SHOP, INC.""","6621 Fair Oaks Boulevard, Carmichael, California, USA 95608",No information found,No information found,1-10,100000-1000000,bobsbodyshopinc.com,No information found,No information found,Active,N/A,INC.,N/A,N/A,"No information found
"
374,375,"!HA CHIHUAHUA!, LLC","30 Pembroke Road, Dublin 4, D04 Y0C2, Ireland",No information found,No information found,No information found,No information found,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
375,376,0xMac LLC,"1600 Amphitheatre Pkwy, Mountain View, CA, USA, 94043",Sundar Pichai,No information found,10000+,1000000000+,google.com,No information found,No information found,Active,N/A,LLC,N/A,N/A,"Sundar Pichai, CEO; Ruth Porat, CFO; Prabhakar Raghavan, Senior Vice President*
"
376,377,"""C"" HANGING ""X"" TRUCKING","4700 BELT LINE RD STE 100, ADDISON, TX, USA, 75001
","
No information found
","
No information found
","
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
No information found
","
N/A
","
N/A
","
No information found
"
377,378,"-C- RANCH, L.L.C.","1691 FM 1704, Elgin, TX, United States, 78621
","
No information found
","
No information found
","
No information found
","
No information found
","
rallycranch.com
","
No information found
","
No information found
","
No information found
","
N/A
","
LLC
","
N/A
","
N/A
","
No information found


"
378,379,#9 Brentmoor LLC,"9 E Brentmoor, Clayton, MO 63105, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
379,380,"""O"" RING & ASSOCIATES, INC.","470, New Sadashiv Peth, Tilak Road, Cross Lane,, Pune- 411030, Maharashtra, India",Prashant Wani,1988,51-100,5000000-25000000,shendesalescorporation.com,No information found,No information found,Active,N/A,Proprietorship,N/A,N/A,"No information found*
"
380,381,"""JAY AMBE"" INC.","5 SOUTHFIELD CT, NEWNAN, GA, 30265, USA",Urvesh Patel,2011,1-10,10000-100000,No website found,531390,No information found,Active,N/A,Domestic Profit Corporation,N/A,N/A,"URVESH PATEL, CEO
URVESH PATEL, CFO
Urvesh Patel, Secretary
"
381,382,"""GREAT ESCAPE WINDOW"" INC","8721 Bass Lake Rd, New Hope, MN 55428, USA",Donald Weld,2011,1-10,100000-1000000,greatescapeegress.com,238190,1799,Active,N/A,Corporation,N/A,N/A,"Donald Weld, Owner; Kirsten Garvin, Office Administrator*
"
382,383,"""GRUBBS MOTOR CO., INC.""","1400 Airport Fwy, Bedford, TX, USA, 76022
","
George Grubbs III
",1948,"
100-1000
","
$50,000,000 to $100,000,000
","
grubbs.com
","
No information found
","
No information found
","
Active
","
N/A
","
Private
","
N/A
","
Grubbs Auto Family
","
George Grubbs III (President & CEO), George Grubbs Jr., Wes Hays, Emily Perrine, Seth Levin
"
383,384,"""DEVLIN'S PROPERTIES II, L.L.C.""","225 S. Meramec Ave, Suite 1000, Clayton, MO 63105, USA",Peter Devlin,No information found,1000-10000,100000000+,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found*
"
384,385,"""CONTECO"" - CONSULTING & TECHNOLOGY CO.","12400 Wilshire Boulevard Suite #400, Los Angeles, CA, USA, 90025",No information found,No information found,No information found,No information found,contecoinc.com,541618,No information found,Active,N/A,A California Corporation,N/A,N/A,"No information found*
"
385,386,"""B"" AND ""D"" BUILDERS, INC.","1722 NW 36TH ST, Miami, Florida, USA, 33142",Ed Ferderbar,1947,1-10,100000-1000000,No website found,No information found,No information found,Inactive,1953,Profit Corporation,N/A,N/A,"No information found*
"
386,387,"""BEAUTIFUL HOMES"", SPECIALISTS IN HOME REMODELING LLC","4309 Eastern Ave SE, Grand Rapids, Michigan, USA, 49508",No information found,1999,1-10,100000-1000000,homespecialistsllc.com,236220,1799,Active,N/A,LLC,N/A,N/A,"No information found
"
387,388,"""Dixie Bread Company, Inc.""","1717 Swann St NW, Washington, DC 20009, USA",Ayeshah Abuelhiga,2014,10-100,1000000-10000000,masondixiefoods.com,311811,2051,Active,N/A,Private,N/A,N/A,"Ayeshah Abuelhiga (Founder and CEO)
"
388,389,"""AMERICA'S BEST..."" PRODUCTIONS, INC.","1600 Rosecrans Ave, Manhattan Beach, CA, USA, 90266
","
No information found
","
No information found
","
1-10
","
$1M to $10M
","
No website found
",512110,7812,"
Active
","
N/A
","
Private
","
N/A
","
N/A
","
No information found


"
389,390,(TTP) THE TOP PRIORITY LLC,"400 Spectrum Center Dr Suite 1400, Irvine, CA, USA, 92618
","
No information found
","
No information found
","
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
No information found
","
N/A
","
LLC
","
N/A
","
N/A
","
No information found
"
390,391,"""DIVINE MUSIC"" ENTERTAINMENT MANAGEMENT LLC",14 rue Favart 75002 Paris France,No information found,2017,1-10,No information found,divine-musique.com,No information found,No information found,Active,N/A,Private,N/A,N/A,"Antoine Renaud (Artist Management & Bookings, New Business), Thibaut Passelande (Artist Management & Bookings), Laura Vieira (Legal & Production Manager), Laura Eldin (Creative Director), Etienne Mocquard (Admin & Day-to-Day Manager)
"
391,392,"# 1 TANS, INC.","Unit J6, Morton Park, Darlington, , United Kingdom, DL1 4PG",No information found,No information found,1-10,10000-100000,bluetanning.com,No information found,No information found,Active,N/A,Private,N/A,No information found,"No information found
"
392,393,"""F"" MART LLC","PUNNAMKULANGARA, EDAPPALLY - NORTH P.O, ERNAKULAM, Kerala, India - 682024",Yoonus Mohamed,2013,No information found,No information found,No website found,No information found,No information found,Active,N/A,Limited Liability Partnership,N/A,N/A,"MUJEEB RAHMAN (Designated Partner), JAFAR MANNATH PONNOLI (Designated Partner)
"
393,394,"""HOT"" DOGZ INC.","Terreiro do Paço, Ala Nascente, NºS 72 e 73 1100-681 Lisboa",Shawn Balaghi,No information found,1-10,10000000+,No website found,No information found,No information found,Active,N/A,Private,N/A,N/A,"Shawn Balaghi, CEO
"
394,395,"""AGAPE MINISTRIES TO BRAZIL""","2755 Commercial Blvd, Suite 103, Fort Lauderdale, FL 33308, United States",No information found,No information found,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Nonprofit Corporation,N/A,N/A,"No information found



"
395,396,"(The) Endermologie Center of the Carolinas, L.L.C.","10722-K Providence Rd, Charlotte, North Carolina, USA, 28277",No information found,2003,1-10,"$100,000 to $500,000",No website found,621399,8099,Dissolved,2017,LLC,N/A,N/A,"N/A*
"
396,397,"""SHEAR PERFECTION"" HAIR STUDIO LLC","111 SYLVAN DRIVE, BARDSTOWN, KY, USA, 40004
","
No information found
",2003,"
1-10
","
10000-100000
","
ashearperfectionsalon.com
",812112,7231,"
Dissolved
",2010,"
LLC
","
N/A
","
N/A
","
No information found


"
397,398,"! "" #0 Abel's Online Academy LLC","6160 Warren Parkway, STE 100, Frisco, TX 75034, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
398,399,$ MOVES US TRANSPORTATION LLC,"5404 NIGHTHAWK ST MCKINNEY, TX 75071 United States 75071
","
No information found
","
No information found
","
1-10
","
100000-1000000
","
No website found
","
No information found
","
No information found
","
Active
","
N/A
","
LLC
","
N/A
","
N/A
","
No information found

"
399,400,"""ALL FOR ALL"" LLC","106 CENTRAL PARK SOUTH NEW YORK, NY 10019, USA",Steve Striebel,2009,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"Steve Striebel, Owner
"
400,401,"""A SMILE FOR SONI"" L.L.C.","12301 Wilshire Blvd. Suite 400, Los Angeles, California, USA, 90025",Si France,No information found,100-1000,100000000+,welbehealth.com,621493,8099,Active,N/A,L.L.C.,N/A,N/A,"Si France, CEO
Matt Patterson, President
Vaneesh Soni, Chief Growth Officer
Blaire Bernard, General Counsel
Ethan Epstein, Chief Financial Officer
Cathy Fraser, Chief People Officer
Michael Le, Chief Medical Officer
Bindu Purushothaman, Chief Information Officer
Becca Miller Rose, Chief Operating Officer
Amy Shin, Chief Mission Officer
"
401,402,"""R"" Place by the Bay, LLC","621 SW 63rd Ave33144 Miami, Florida, USA",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,LLC,N/A,N/A,"Yulexy Llerena, Managing Director(s)
"
402,403,"! A-TEAM LEARNING, LLC","1400 Spring Street NW, Suite 300, Atlanta, GA, 30309, USA",No information found,No information found,10-100,1000000-10000000,No website found,611699,8299,Active,N/A,LLC,N/A,N/A,"No information found
"
403,404,"""Ann""imal's House of Iron, LLC","1277 County Road 3800, Bay Minette, Alabama, USA, 36507",No information found,No information found,1-10,10000-100000,ironrockfarm.com,No information found,No information found,Active,N/A,LLC,N/A,N/A,"Noel Garrett (Owner), Amy Garrett (Owner), Ethan (Employee), Taylor (Employee), Broncs (Employee in training), Max (Employee), Haley (Employee)*
"
404,405,""" POINT AFTER"" ENTERPRISES, INC.","18409 N 25th Ave, Phoenix, Arizona, United States, 85023
","
Daniel Gaston
","
No information found
","
100-1000
","
1000000000+
","
pointblankenterprises.com
","
No information found
","
No information found
","
Active
","
N/A
","
Private
","
N/A
","
N/A
","
Daniel Gaston (CEO)
"
405,406,"""Tha Look ""LLC""""","1201 N Orange Street Suite #7003, Wilmington, DE 19801, United States",No information found,No information found,1-10,10000-100000,lookdigitalsignage.com,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
406,407,"""A NEW LIFE FOR YOU, INC.""","C/O RAHUL KUMAR SHIVAJI NAGAR NEAR SAI SHIVAM SCHOOL PO SADAKAT ASHRAM PS DIGHA , PATNA, Bihar, India - 800010",No information found,No information found,No information found,No information found,No website found,No information found,No information found,Active,N/A,No information found,N/A,N/A,"No information found
"
407,408,"""A"" SQUARED LAWN CARE LLC","11611 MEMORIAL PKWY S STE B100, HUNTSVILLE, AL, USA, 35803",No information found,2011,1-10,10000-100000,asquaredlawns.com,561730,782,Active,N/A,LLC,N/A,N/A,"No information found
"
408,409,"""6R"" SERVICE, INC. (THE)",No information found,No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
409,410,'?INA LA'AHUA LLC,95-1248 KEOHANE ST,No information found,No information found,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,LLC,N/A,N/A,"No information found
"
410,411,"'Round To It, LLC","45 Wintergreen Lane Groton, MA 01450, USA",Ryan Fuller,2021,1-10,1000000-10000000,No website found,No information found,No information found,Dissolved,2024,LLC,N/A,N/A,"Ryan Fuller, CEO and Co-founder*
"
411,412,"""A"" RATED KITCHENS, INC.","P O BOX 4015, HONOLULU, Hawaii, UNITED STATES, 96812",JOHNNY DILANZO,1991,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Domestic Profit Corporation,N/A,N/A,JOHNNY DILANZO (Agent)
412,413,"'79' CLUB ASSOCIATION, INC.","79 CLUB DR, NEWARK, DE, USA, 19701",No information found,No information found,No information found,No information found,No website found,No information found,No information found,No information found,N/A,No information found,N/A,N/A,"No information found
"
413,414,"104 Gateway, LLC","104 Gateway North, Marble Falls, TX, USA, 78654
","
No information found
",1999,"
No information found
","
No information found
","
No website found
","
No information found
","
No information found
","
Active
","
N/A
","
No information found
","
N/A
","
N/A
","
No information found
"
414,415,"""A BETTER SEAT, INC.""","4400 Liberty Heights Ave Ste 207, Baltimore, MD, USA, 21215
","
Jennifer Lawrence
","
No information found
","
1-10
","
No information found
","
seatcenter.org
","
No information found
","
No information found
","
Active
","
N/A
","
Nonprofit
","
N/A
","
N/A
","
Jennifer Lawrence, Founder/CEO; Sharon, Corporate Services Administrator
"
415,416,"""EFFECTS"" A SALON, INC.","1711 Branham Lane; Suite A13; San Jose, CA; USA; 95118
","
No information found
",1988,"
1-10
","
100000-1000000
","
https://www.specialfxsalon.com
","
No information found
","
No information found
","
Active
","
N/A
","
Private
","
N/A
","
N/A
","
No information found


"
416,417,"""I DON'T KNOW BAR & GRILL"" LLC","12001 Jefferson Davis Hwy, Chester, Virginia, USA, 23831",No information found,No information found,1-10,10000-100000,idontknows.com,722410,5813,Active,N/A,No information found,Steel Horse,No information found,"No information found
"
417,418,"!0258 M&C, LLC","48 Dover Street, London, W1S 4LW, United Kingdom",No information found,No information found,1000-10000,100000000-1000000000,No information found,541810,7311,Active,N/A,Public,N/A,N/A,"No information found
"
418,419,"""B"" FAST CONSTRUCTION LLC","560 Glory Trl, De Soto, MO 63020-4023, USA",Benjamin Fast,2014,1-10,10000-100000,No website found,No information found,No information found,Active,N/A,Sole Proprietorship,N/A,N/A,"Benjamin Fast, Owner*
"
419,420,"""A REFUGE"" MINISTRIES, INC.","P.O. Box 103, Wampsville, New York, USA, 13163",Christine Carpenter,No information found,1-10,No information found,rahabrefugeministries.org,No information found,No information found,Active,N/A,Nonprofit Corporation,N/A,N/A,"Christine Carpenter (President/CEO), Melissa Quinn (Secretary/Officer), Richard (Rick) Buck (Officer), Ben Oxenford (Officer)
"
420,421,"""SEABORN ENTERPRISES, INC.""","5310 72nd Ave NW, Gig Harbor, Washington, USA, 98335",Restricted Restricted,1989,1-10,$100000-1000000,No website found,114111,9129910,Active,N/A,Public,N/A,N/A,Restricted (Title: Restricted)
421,422,"#1 GOLDEN OPPORTUNITY, LLC","635 Wall Street, Suite 1, Sevierville, TN, USA, 37862",Heleen van Tonder,1999,1-10,10000-100000,mygoldenteam.com,No information found,No information found,Active,N/A,LLC,N/A,N/A,"Heleen van Tonder, President and CEO; Gabriel Oosthuysen, Program Director; Justin Slone, Administrative Associate; Ansa Thomas, Placement Director; Shea Toombs, Placement Assistant; Angela Wittwer, Administrative Associate
"
422,423,"""ALPHA TRANS"" INC.","38, MANMANDIR RESIDENCY, CHHATADIYA ROAD , RAJULA, Gujarat, India - 365560",Pranav Vinodrai Hindocha,2009,1-10,No information found,No website found,630,No information found,Active,N/A,Private,N/A,N/A,"Pranav Vinodrai Hindocha, Maheshkumar Jivabhai Der,  Lalitaben Maheshbhai Der.
"
423,424,"""""""AGSERV""""""","1920 Philadelphia Street, Suite 107, Ames, Iowa, USA, 50010",Kurt Olson,1995,1-10,100000-1000000,agserv.net,No information found,No information found,Active,N/A,Private,"FarmLand Real Estate & Management, LC",N/A,"Kurt Olson, President and CEO, Farm Manager and Crop Insurance Agent; Jeremy Davis, Partner, Farm Manager and Crop Insurance Agent*
"
