,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
337,10328 Thuja Circle LLC,134045,us_ak,2011-03-22,,Limited Liability Company,,F,branch of an out-of-jurisdiction company,True,Involuntarily Dissolved,2011-04-08T14:37:19+00:00,2019-01-10T13:05:44+00:00,2017-01-28T09:40:43+00:00,https://opencorporates.com/companies/us_ak/134045,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-01-28T09:40:43+00:00'}","{'street_address': '1920 SHADETREE CIRCLE, ANCHORAGE, AK 99502', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","1920 SHADETREE CIRCLE, ANCHORAGE, AK 99502",[],,
338,"1033 East Tenth, LLC",94105,us_ak,2005-05-23,,Limited Liability Company,,,,True,Involuntarily Dissolved,2011-04-08T14:37:19+00:00,2020-08-07T13:01:39+00:00,2017-03-06T17:19:51+00:00,https://opencorporates.com/companies/us_ak/94105,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-06T17:19:51+00:00'}",,,[],,
339,"1033 Zakandra, LLC",10167468,us_ak,2021-06-30,,Limited Liability Company,,,,False,Good Standing,2021-07-02T04:00:17+00:00,2024-10-09T08:51:53+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10167468,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '892 E. USA CIRCLE STE 100', 'locality': 'WASILLA', 'region': 'AK', 'postal_code': '99654', 'country': 'UNITED STATES'}","892 E. USA CIRCLE STE 100, WASILLA, AK, 99654",[],,
340,"1037 Opule Street, LLC",10095976,us_ak,2018-12-11,,Limited Liability Company,,,,False,Good Standing,2020-01-28T21:31:56+00:00,2024-10-09T16:19:09+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10095976,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '33 WHELAN RD', 'locality': 'EAST RUTHERFORD', 'region': 'NJ', 'postal_code': '07073', 'country': 'UNITED STATES'}","33 WHELAN RD, EAST RUTHERFORD, NJ, 07073",[],,
341,"104 Gateway, LLC",106826,us_ak,2007-03-01,,Limited Liability Company,,F,branch of an out-of-jurisdiction company,True,Removed,2011-04-08T14:37:19+00:00,2022-03-01T18:27:53+00:00,2017-03-20T05:54:08+00:00,https://opencorporates.com/companies/us_ak/106826,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-20T05:54:08+00:00'}","{'street_address': '104 GATEWAY RD., BENSENVILLE, IL 60106-1951', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","104 GATEWAY RD., BENSENVILLE, IL 60106-1951",[],,
342,104 Pennsylvania LLC,10021704,us_ak,2014-06-18,,Limited Liability Company,,,,False,Good Standing,2014-06-20T05:05:47+00:00,2023-10-02T10:03:13+00:00,2023-09-29T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10021704,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2023-09-29T08:10:10+00:00'}","{'street_address': '104 PENNSYLVANIA AVENUE', 'locality': 'MOUNT GRETNA', 'region': 'PA', 'postal_code': '17064', 'country': 'UNITED STATES'}","104 PENNSYLVANIA AVENUE, MOUNT GRETNA, PA, 17064",[],,
343,"1040, INC.",45992D,us_ak,1990-05-29,,Business Corporation,,,,True,Involuntarily Dissolved,2011-04-08T14:37:19+00:00,2020-08-07T13:01:39+00:00,2017-03-11T18:59:49+00:00,https://opencorporates.com/companies/us_ak/45992D,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-11T18:59:49+00:00'}","{'street_address': '769 WANDA DR, NORTH POLE, AK 99705', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","769 WANDA DR, NORTH POLE, AK 99705",[],,
345,"1042E, LLC",10033190,us_ak,2015-11-04,,Limited Liability Company,,,,False,Non Compliant,2015-11-05T12:40:36+00:00,2023-12-02T08:17:40+00:00,2023-12-01T09:10:13+00:00,https://opencorporates.com/companies/us_ak/10033190,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2023-12-01T09:10:13+00:00'}","{'street_address': '229 IDITAROD', 'locality': 'FAIRBANKS', 'region': 'AK', 'postal_code': '99701', 'country': 'UNITED STATES'}","229 IDITAROD, FAIRBANKS, AK, 99701",[],,
346,"1044 Old Glenn, LLC",10122148,us_ak,2020-01-14,,Limited Liability Company,,,,False,Non Compliant,2020-01-28T22:14:15+00:00,2022-09-13T05:05:51+00:00,2022-09-12T08:10:09+00:00,https://opencorporates.com/companies/us_ak/10122148,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2022-09-12T08:10:09+00:00'}","{'street_address': '721 DEPOT DRIVE', 'locality': 'ANCHOAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","721 DEPOT DRIVE, ANCHOAGE, AK, 99501",[],,
347,"1048 WHITNEY ROAD, ANCHORAGE, LLC",124437,us_ak,2009-10-13,,Limited Liability Company,,,,False,Good Standing,2011-04-08T14:37:19+00:00,2024-10-08T10:43:26+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/124437,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '18000 INTERNATIONAL BLVD, SUITE 800', 'locality': 'SEATTLE', 'region': 'WA', 'postal_code': '98188', 'country': 'UNITED STATES'}","18000 INTERNATIONAL BLVD, SUITE 800, SEATTLE, WA, 98188",[],,
348,"1049 REAL ESTATE, INC.",51764D,us_ak,1993-05-28,,Business Corporation,,,,True,Involuntarily Dissolved,2011-04-08T14:37:20+00:00,2020-08-07T13:01:39+00:00,2017-03-13T10:44:02+00:00,https://opencorporates.com/companies/us_ak/51764D,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-13T10:44:02+00:00'}",,,[],,
349,"10499, INC.",48420D,us_ak,1991-10-09,,Business Corporation,,,,True,Involuntarily Dissolved,2011-04-08T14:37:20+00:00,2020-08-07T13:01:39+00:00,2017-03-12T04:25:52+00:00,https://opencorporates.com/companies/us_ak/48420D,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-12T04:25:52+00:00'}","{'street_address': 'PO BOX 241826, ANCHORAGE, AK 99524', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","PO BOX 241826, ANCHORAGE, AK 99524",[],,
350,104Firewood LLC,10221111,us_ak,2023-01-24,,Limited Liability Company,,,,False,Good Standing,2023-01-26T07:35:14+00:00,2024-10-09T04:09:30+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10221111,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '52595 STERLING HIGHWAY', 'locality': 'SOLDOTNA', 'region': 'AK', 'postal_code': '99669', 'country': 'UNITED STATES'}","52595 STERLING HIGHWAY, SOLDOTNA, AK, 99669",[],,
351,"104th and C Retail 1, LLC",10032154,us_ak,2015-09-16,,Limited Liability Company,,,,False,Good Standing,2015-09-22T13:13:20+00:00,2024-10-07T23:25:16+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10032154,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '813 D STREET, SUITE 200, SUITE 200', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","813 D STREET, SUITE 200, SUITE 200, ANCHORAGE, AK, 99501",[],,
352,"104th and C Retail 2, LLC",10032155,us_ak,2015-09-16,,Limited Liability Company,,,,False,Good Standing,2015-09-22T14:12:37+00:00,2024-10-07T23:25:16+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10032155,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '813 D STREET, SUITE 200, SUITE 200', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","813 D STREET, SUITE 200, SUITE 200, ANCHORAGE, AK, 99501",[],,
353,"105 Adak Avenue, LLC",10000003,us_ak,2011-09-06,,Limited Liability Company,,,,False,Good Standing,2012-08-15T17:09:10+00:00,2024-10-08T07:25:08+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10000003,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '105 ADAK AVENUE', 'locality': 'FAIRBANKS', 'region': 'AK', 'postal_code': '99701', 'country': 'UNITED STATES'}","105 ADAK AVENUE, FAIRBANKS, AK, 99701",[],,
354,105 Willow Street LLC,10003174,us_ak,2012-02-23,,Limited Liability Company,,,,False,Good Standing,2012-08-15T18:05:54+00:00,2024-10-03T22:58:00+00:00,2023-09-29T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10003174,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2023-09-29T08:10:10+00:00'}","{'street_address': '105 WILLOW ST', 'locality': 'BROOKLYN', 'region': 'NY', 'postal_code': '11201', 'country': 'UNITED STATES'}","105 WILLOW ST, BROOKLYN, NY, 11201",[],,
355,"10534 K, LLC",10223074,us_ak,2023-02-10,,Limited Liability Company,,,,False,Good Standing,2023-02-12T04:15:20+00:00,2024-10-09T04:01:26+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10223074,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '200 W. 34TH AVE., #977', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99503', 'country': 'UNITED STATES'}","200 W. 34TH AVE., #977, ANCHORAGE, AK, 99503",[],,
356,"106 F, LLC",110631,us_ak,2007-08-17,,Limited Liability Company,,,,False,Good Standing,2011-04-08T14:37:20+00:00,2024-10-08T13:10:23+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/110631,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '1273 BANNISTER DRIVE', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99508', 'country': 'UNITED STATES'}","1273 BANNISTER DRIVE, ANCHORAGE, AK, 99508",[],,
357,"10630 Tahneeta, LLC",10202415,us_ak,2022-07-27,,Limited Liability Company,,,,False,Good Standing,2022-07-29T04:05:16+00:00,2024-10-09T05:22:41+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10202415,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '3225 MCLEOD DR, SUITE 100', 'locality': 'LAS VEGAS', 'region': 'NV', 'postal_code': '89121', 'country': 'UNITED STATES'}","3225 MCLEOD DR, SUITE 100, LAS VEGAS, NV, 89121",[],,
358,"10640 Stroganof Drive, LLC",10045956,us_ak,2016-12-02,,Limited Liability Company,,,,False,Non Compliant,2016-12-28T09:38:39+00:00,2022-09-13T06:05:31+00:00,2022-09-12T08:10:09+00:00,https://opencorporates.com/companies/us_ak/10045956,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2022-09-12T08:10:09+00:00'}","{'street_address': '10640 STROGANOF DRIVE', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99507', 'country': 'UNITED STATES'}","10640 STROGANOF DRIVE, ANCHORAGE, AK, 99507",[],,
359,"10712 Lunar, LLC",10172975,us_ak,2021-09-05,,Limited Liability Company,,,,False,Good Standing,2021-09-07T04:10:14+00:00,2024-10-09T08:11:25+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10172975,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '3225 MCLEOD DR STE 100', 'locality': 'LAS VEGAS', 'region': 'NV', 'postal_code': '89121', 'country': 'UNITED STATES'}","3225 MCLEOD DR STE 100, LAS VEGAS, NV, 89121",[],,
360,"10723-10721 Residential, LLC",10048908,us_ak,2017-01-11,,Limited Liability Company,,,,False,Good Standing,2017-03-16T00:12:36+00:00,2024-10-07T21:10:09+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10048908,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '421 E. COMMERCIAL ST.', 'locality': 'ANAHEIM', 'region': 'CA', 'postal_code': '92801', 'country': 'UNITED STATES'}","421 E. COMMERCIAL ST., ANAHEIM, CA, 92801",[],,
361,"10775 W Bronco Trail, LLC",10166296,us_ak,2021-06-16,,Limited Liability Company,,,,False,Good Standing,2021-06-18T04:05:18+00:00,2024-10-09T09:02:37+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10166296,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '11 S MERIDIAN ST.', 'locality': 'INDIANAPOLIS', 'region': 'AZ', 'postal_code': '46204', 'country': 'UNITED STATES'}","11 S MERIDIAN ST., INDIANAPOLIS, AZ, 46204",[],,
362,"1080 THANE ROAD, JUNEAU, LLC",124418,us_ak,2009-10-13,,Limited Liability Company,,,,False,Good Standing,2011-04-08T14:37:20+00:00,2024-10-08T10:43:25+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/124418,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '18000 INTERNATIONAL BLVD, SUITE 800', 'locality': 'SEATTLE', 'region': 'WA', 'postal_code': '98188', 'country': 'UNITED STATES'}","18000 INTERNATIONAL BLVD, SUITE 800, SEATTLE, WA, 98188",[],,
363,10841 Klutina LLC,10176155,us_ak,2021-10-13,,Limited Liability Company,,,,False,Good Standing,2021-10-15T04:00:17+00:00,2023-01-13T04:43:51+00:00,2023-01-12T09:10:12+00:00,https://opencorporates.com/companies/us_ak/10176155,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2023-01-12T09:10:12+00:00'}","{'street_address': '3225 MCLEOD DR, SUITE 100', 'locality': 'LAS VEGAS', 'region': 'NV', 'postal_code': '89121', 'country': 'UNITED STATES'}","3225 MCLEOD DR, SUITE 100, LAS VEGAS, NV, 89121",[],,
364,"10846 Mausel St, LLC",119050,us_ak,2008-10-27,,Limited Liability Company,,,,False,Good Standing,2011-04-08T16:12:44+00:00,2024-10-08T11:55:16+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/119050,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '1901 S EAGLE EYE CIR', 'locality': 'WASILLA', 'region': 'AK', 'postal_code': '99654', 'country': 'UNITED STATES'}","1901 S EAGLE EYE CIR, WASILLA, AK, 99654",[],,
365,1090 W Dimond LLC,10165002,us_ak,2021-05-31,,Limited Liability Company,,,,False,Good Standing,2021-06-02T04:20:12+00:00,2024-10-09T09:12:30+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10165002,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '1090 W DIMOND BLVD', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99515', 'country': 'UNITED STATES'}","1090 W DIMOND BLVD, ANCHORAGE, AK, 99515",[],,
366,"1095 SANDURI ST., FAIRBANKS, LLC",124419,us_ak,2009-10-13,,Limited Liability Company,,,,False,Good Standing,2011-04-08T14:37:20+00:00,2024-10-08T10:43:26+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/124419,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '18000 INTERNATIONAL BLVD, SUITE 800', 'locality': 'SEATTLE', 'region': 'WA', 'postal_code': '98188', 'country': 'UNITED STATES'}","18000 INTERNATIONAL BLVD, SUITE 800, SEATTLE, WA, 98188",[],,
367,1096 Tech LLC,10152686,us_ak,2021-01-18,,Limited Liability Company,,,,False,Good Standing,2021-01-20T10:30:56+00:00,2024-10-09T10:39:06+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10152686,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '125 N. WILLOW ST. STE B', 'locality': 'KENAI', 'region': 'AK', 'postal_code': '99611', 'country': 'UNITED STATES'}","125 N. WILLOW ST. STE B, KENAI, AK, 99611",[],,
368,"1099 Workers, LLC",10280687,us_ak,2024-08-07,,Limited Liability Company,,F,branch of an out-of-jurisdiction company,False,Good Standing,2024-08-09T04:15:15+00:00,2024-10-09T00:51:32+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10280687,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '13010 MORRIS RD, SUITE 600', 'locality': 'ALPHARETTA', 'region': 'GA', 'postal_code': '30004', 'country': 'UNITED STATES'}","13010 MORRIS RD, SUITE 600, ALPHARETTA, GA, 30004",[],,
369,"10ENT, LLC.",10194373,us_ak,2022-04-27,,Limited Liability Company,,,,False,Good Standing,2022-04-29T04:10:12+00:00,2024-10-09T05:56:35+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10194373,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '2628 MISTLETOE DRIVE', 'locality': 'NORTH POLE', 'region': 'AK', 'postal_code': '99705', 'country': 'UNITED STATES'}","2628 MISTLETOE DRIVE, NORTH POLE, AK, 99705",[],,
370,"10K CAFE, LLC",10283966,us_ak,2024-09-06,,Limited Liability Company,,F,branch of an out-of-jurisdiction company,False,Good Standing,2024-09-08T04:15:17+00:00,2024-10-09T00:44:58+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10283966,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '515 E. 12TH AVE #6', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","515 E. 12TH AVE #6, ANCHORAGE, AK, 99501",[],,
371,10PLUS10 CORPORATION,83438D,us_ak,2003-11-06,,Business Corporation,,F,branch of an out-of-jurisdiction company,True,Involuntarily Dissolved,2011-04-08T14:37:21+00:00,2017-03-13T07:50:57+00:00,2017-03-04T03:56:40+00:00,https://opencorporates.com/companies/us_ak/83438D,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-04T03:56:40+00:00'}","{'street_address': '601 W 5TH AVE STE 900, ANCHORAGE, AK 99501', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","601 W 5TH AVE STE 900, ANCHORAGE, AK 99501",[],,
372,"10SNE1 Management, LLC",10108787,us_ak,2019-06-28,,Limited Liability Company,,,,False,Non Compliant,2020-01-28T21:56:04+00:00,2024-06-26T14:46:53+00:00,2023-12-01T09:10:13+00:00,https://opencorporates.com/companies/us_ak/10108787,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2023-12-01T09:10:13+00:00'}","{'street_address': '200 W. 34TH AVE., #977', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99503', 'country': 'UNITED STATES'}","200 W. 34TH AVE., #977, ANCHORAGE, AK, 99503",[],,
373,10TH EMERGENCY RESCUE BOAT ASSOCIATION,42840D,us_ak,1988-10-12,,Nonprofit Corporation,,,,True,Involuntarily Dissolved,2011-04-08T14:37:21+00:00,2020-08-07T13:01:39+00:00,2017-03-11T08:11:43+00:00,https://opencorporates.com/companies/us_ak/42840D,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-03-11T08:11:43+00:00'}","{'street_address': '307 BAWDEN ST, KETCHIKAN, AK 99901', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","307 BAWDEN ST, KETCHIKAN, AK 99901",[],,
374,"10X Enterprises, LLC",10254362,us_ak,2023-12-20,,Limited Liability Company,,,,False,Good Standing,2024-01-04T16:27:09+00:00,2024-10-09T02:01:27+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10254362,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '821 NORTH STREET, 102', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","821 NORTH STREET, 102, ANCHORAGE, AK, 99501",[],,
375,"10X, INC.",10046480,us_ak,,,,,F,branch of an out-of-jurisdiction company,True,Removed,2016-12-28T09:39:44+00:00,2022-03-01T13:19:21+00:00,2017-02-05T11:56:43+00:00,https://opencorporates.com/companies/us_ak/10046480,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2017-02-05T11:56:43+00:00'}",,,[],,
376,10mm below LLC,10022479,us_ak,2014-07-24,,Limited Liability Company,,,,False,Good Standing,2014-07-25T11:21:42+00:00,2024-10-08T02:00:50+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10022479,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '340 MERHAR AVE', 'locality': 'FAIRBANKS', 'region': 'AK', 'postal_code': '99701', 'country': 'UNITED STATES'}","340 MERHAR AVE, FAIRBANKS, AK, 99701",[],,
377,10th Ave LLC,10239302,us_ak,2023-07-16,,Limited Liability Company,,,,False,Good Standing,2023-08-23T11:06:09+00:00,2024-10-09T02:55:45+00:00,2024-10-07T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10239302,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-07T08:10:10+00:00'}","{'street_address': '4901 SHOSHONI', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99516', 'country': 'UNITED STATES'}","4901 SHOSHONI, ANCHORAGE, AK, 99516",[],,
378,10th Avenue Properties LLC,10028636,us_ak,2015-04-09,,Limited Liability Company,,,,False,Good Standing,2015-04-10T16:18:40+00:00,2024-10-08T00:31:17+00:00,2024-10-06T08:10:10+00:00,https://opencorporates.com/companies/us_ak/10028636,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2024-10-06T08:10:10+00:00'}","{'street_address': '8130 HEAVENLY CIR', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99502', 'country': 'UNITED STATES'}","8130 HEAVENLY CIR, ANCHORAGE, AK, 99502",[],,
379,10th Planet Soldotna LLC,10134716,us_ak,2020-06-09,,Limited Liability Company,,,,True,Removed,2020-06-11T10:05:13+00:00,2022-03-01T18:27:53+00:00,2022-01-18T09:10:18+00:00,https://opencorporates.com/companies/us_ak/10134716,[],[],"{'publisher': 'Alaska Department of Commerce, Community, and Economic Development', 'url': 'https://www.commerce.alaska.gov/cbp/main/search/entities', 'retrieved_at': '2022-01-18T09:10:18+00:00'}","{'street_address': '821 N ST STE 102', 'locality': 'ANCHORAGE', 'region': 'AK', 'postal_code': '99501', 'country': 'UNITED STATES'}","821 N ST STE 102, ANCHORAGE, AK, 99501",[],,
